Academic_Year,SSA_T1,Age,Level,Gender,Framework, Starts , Achievements 
201415,"Agriculture, Horticulture and Animal Care",19-24,Advanced Apprenticeship,Male,Nursing Assistants in a Veterinary Environment, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Advanced Apprenticeship,Male,Trees and Timber,10,10
201415,"Agriculture, Horticulture and Animal Care",19-24,Advanced Apprenticeship,Male,Veterinary Nursing,10,10
201415,"Agriculture, Horticulture and Animal Care",19-24,Advanced Apprenticeship,Not App/ Known,Agriculture, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Advanced Apprenticeship,Not App/ Known,Animal Care, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Advanced Apprenticeship,Not App/ Known,Animal Technology, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Advanced Apprenticeship,Not App/ Known,Environmental Conservation, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Advanced Apprenticeship,Not App/ Known,Equine Industry, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Advanced Apprenticeship,Not App/ Known,Farriery, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Advanced Apprenticeship,Not App/ Known,Fencing, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Advanced Apprenticeship,Not App/ Known,Fish Husbandry and Fish Management, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Advanced Apprenticeship,Not App/ Known,Floristry, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Advanced Apprenticeship,Not App/ Known,Game and Wildlife Management, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Advanced Apprenticeship,Not App/ Known,Horticulture, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Advanced Apprenticeship,Not App/ Known,Land-based Service Engineering, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Advanced Apprenticeship,Not App/ Known,Nursing Assistants in a Veterinary Environment, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Advanced Apprenticeship,Not App/ Known,Trees and Timber, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Advanced Apprenticeship,Not App/ Known,Veterinary Nursing, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Higher Apprenticeship,Female,Agriculture, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Higher Apprenticeship,Female,Animal Care, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Higher Apprenticeship,Female,Animal Technology, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Higher Apprenticeship,Female,Environmental Conservation, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Higher Apprenticeship,Female,Equine Industry, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Higher Apprenticeship,Female,Farriery, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Higher Apprenticeship,Female,Fencing, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Higher Apprenticeship,Female,Fish Husbandry and Fish Management, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Higher Apprenticeship,Female,Floristry, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Higher Apprenticeship,Female,Game and Wildlife Management, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Higher Apprenticeship,Female,Horticulture, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Higher Apprenticeship,Female,Land-based Service Engineering, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Higher Apprenticeship,Female,Nursing Assistants in a Veterinary Environment, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Higher Apprenticeship,Female,Trees and Timber, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Higher Apprenticeship,Female,Veterinary Nursing, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Higher Apprenticeship,Male,Agriculture,10,20
201415,"Agriculture, Horticulture and Animal Care",19-24,Higher Apprenticeship,Male,Animal Care, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Higher Apprenticeship,Male,Animal Technology, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Higher Apprenticeship,Male,Environmental Conservation, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Higher Apprenticeship,Male,Equine Industry, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Higher Apprenticeship,Male,Farriery, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Higher Apprenticeship,Male,Fencing, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Higher Apprenticeship,Male,Fish Husbandry and Fish Management, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Higher Apprenticeship,Male,Floristry, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Higher Apprenticeship,Male,Game and Wildlife Management, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Higher Apprenticeship,Male,Horticulture, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Higher Apprenticeship,Male,Land-based Service Engineering, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Higher Apprenticeship,Male,Nursing Assistants in a Veterinary Environment, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Higher Apprenticeship,Male,Trees and Timber, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Higher Apprenticeship,Male,Veterinary Nursing, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Higher Apprenticeship,Not App/ Known,Agriculture, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Higher Apprenticeship,Not App/ Known,Animal Care, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Higher Apprenticeship,Not App/ Known,Animal Technology, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Higher Apprenticeship,Not App/ Known,Environmental Conservation, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Higher Apprenticeship,Not App/ Known,Equine Industry, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Higher Apprenticeship,Not App/ Known,Farriery, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Higher Apprenticeship,Not App/ Known,Fencing, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Higher Apprenticeship,Not App/ Known,Fish Husbandry and Fish Management, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Higher Apprenticeship,Not App/ Known,Floristry, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Higher Apprenticeship,Not App/ Known,Game and Wildlife Management, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Higher Apprenticeship,Not App/ Known,Horticulture, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Higher Apprenticeship,Not App/ Known,Land-based Service Engineering, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Higher Apprenticeship,Not App/ Known,Nursing Assistants in a Veterinary Environment, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Higher Apprenticeship,Not App/ Known,Trees and Timber, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Higher Apprenticeship,Not App/ Known,Veterinary Nursing, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Intermediate Apprenticeship,Female,Agriculture,10,10
201415,"Agriculture, Horticulture and Animal Care",19-24,Intermediate Apprenticeship,Female,Animal Care,130,70
201415,"Agriculture, Horticulture and Animal Care",19-24,Intermediate Apprenticeship,Female,Animal Technology, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Intermediate Apprenticeship,Female,Environmental Conservation, -   ,10
201415,"Agriculture, Horticulture and Animal Care",19-24,Intermediate Apprenticeship,Female,Equine Industry,200,120
201415,"Agriculture, Horticulture and Animal Care",19-24,Intermediate Apprenticeship,Female,Farriery, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Intermediate Apprenticeship,Female,Fencing, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Intermediate Apprenticeship,Female,Fish Husbandry and Fish Management, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Intermediate Apprenticeship,Female,Floristry,40,20
201415,"Agriculture, Horticulture and Animal Care",19-24,Intermediate Apprenticeship,Female,Game and Wildlife Management, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Intermediate Apprenticeship,Female,Horticulture,50,20
201415,"Agriculture, Horticulture and Animal Care",19-24,Intermediate Apprenticeship,Female,Land-based Service Engineering, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Intermediate Apprenticeship,Female,Nursing Assistants in a Veterinary Environment,30,20
201415,"Agriculture, Horticulture and Animal Care",19-24,Intermediate Apprenticeship,Female,Trees and Timber, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Intermediate Apprenticeship,Female,Veterinary Nursing, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Intermediate Apprenticeship,Male,Agriculture,70,40
201415,"Agriculture, Horticulture and Animal Care",19-24,Intermediate Apprenticeship,Male,Animal Care,60,30
201415,"Agriculture, Horticulture and Animal Care",19-24,Intermediate Apprenticeship,Male,Animal Technology, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Intermediate Apprenticeship,Male,Environmental Conservation,20,20
201415,"Agriculture, Horticulture and Animal Care",19-24,Intermediate Apprenticeship,Male,Equine Industry,80,70
201415,"Agriculture, Horticulture and Animal Care",19-24,Intermediate Apprenticeship,Male,Farriery, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Intermediate Apprenticeship,Male,Fencing,30,40
201415,"Agriculture, Horticulture and Animal Care",19-24,Intermediate Apprenticeship,Male,Fish Husbandry and Fish Management, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Intermediate Apprenticeship,Male,Floristry, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Intermediate Apprenticeship,Male,Game and Wildlife Management,10,10
201415,"Agriculture, Horticulture and Animal Care",19-24,Intermediate Apprenticeship,Male,Horticulture,720,380
201415,"Agriculture, Horticulture and Animal Care",19-24,Intermediate Apprenticeship,Male,Land-based Service Engineering,30,20
201415,"Agriculture, Horticulture and Animal Care",19-24,Intermediate Apprenticeship,Male,Nursing Assistants in a Veterinary Environment, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Intermediate Apprenticeship,Male,Trees and Timber,90,40
201415,"Agriculture, Horticulture and Animal Care",19-24,Intermediate Apprenticeship,Male,Veterinary Nursing, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Intermediate Apprenticeship,Not App/ Known,Agriculture, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Intermediate Apprenticeship,Not App/ Known,Animal Care, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Intermediate Apprenticeship,Not App/ Known,Animal Technology, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Intermediate Apprenticeship,Not App/ Known,Environmental Conservation, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Intermediate Apprenticeship,Not App/ Known,Equine Industry, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Intermediate Apprenticeship,Not App/ Known,Farriery, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Intermediate Apprenticeship,Not App/ Known,Fencing, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Intermediate Apprenticeship,Not App/ Known,Fish Husbandry and Fish Management, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Intermediate Apprenticeship,Not App/ Known,Floristry, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Intermediate Apprenticeship,Not App/ Known,Game and Wildlife Management, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Intermediate Apprenticeship,Not App/ Known,Horticulture, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Intermediate Apprenticeship,Not App/ Known,Land-based Service Engineering, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Intermediate Apprenticeship,Not App/ Known,Nursing Assistants in a Veterinary Environment, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Intermediate Apprenticeship,Not App/ Known,Trees and Timber, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Intermediate Apprenticeship,Not App/ Known,Veterinary Nursing, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Unassigned,Female,Agriculture, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Unassigned,Female,Animal Care, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Unassigned,Female,Animal Technology, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Unassigned,Female,Environmental Conservation, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Unassigned,Female,Equine Industry, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Unassigned,Female,Farriery, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Unassigned,Female,Fencing, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Unassigned,Female,Fish Husbandry and Fish Management, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Unassigned,Female,Floristry, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Unassigned,Female,Game and Wildlife Management, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Unassigned,Female,Horticulture, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Unassigned,Female,Land-based Service Engineering, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Unassigned,Female,Nursing Assistants in a Veterinary Environment, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Unassigned,Female,Trees and Timber, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Unassigned,Female,Veterinary Nursing, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Unassigned,Male,Agriculture, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Unassigned,Male,Animal Care, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Unassigned,Male,Animal Technology, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Unassigned,Male,Environmental Conservation, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Unassigned,Male,Equine Industry, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Unassigned,Male,Farriery, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Unassigned,Male,Fencing, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Unassigned,Male,Fish Husbandry and Fish Management, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Unassigned,Male,Floristry, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Unassigned,Male,Game and Wildlife Management, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Unassigned,Male,Horticulture, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Unassigned,Male,Land-based Service Engineering, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Unassigned,Male,Nursing Assistants in a Veterinary Environment, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Unassigned,Male,Trees and Timber, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Unassigned,Male,Veterinary Nursing, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Unassigned,Not App/ Known,Agriculture, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Unassigned,Not App/ Known,Animal Care, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Unassigned,Not App/ Known,Animal Technology, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Unassigned,Not App/ Known,Environmental Conservation, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Unassigned,Not App/ Known,Equine Industry, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Unassigned,Not App/ Known,Farriery, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Unassigned,Not App/ Known,Fencing, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Unassigned,Not App/ Known,Fish Husbandry and Fish Management, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Unassigned,Not App/ Known,Floristry, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Unassigned,Not App/ Known,Game and Wildlife Management, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Unassigned,Not App/ Known,Horticulture, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Unassigned,Not App/ Known,Land-based Service Engineering, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Unassigned,Not App/ Known,Nursing Assistants in a Veterinary Environment, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Unassigned,Not App/ Known,Trees and Timber, -   , -   
201415,"Agriculture, Horticulture and Animal Care",19-24,Unassigned,Not App/ Known,Veterinary Nursing, -   , -   
201415,"Agriculture, Horticulture and Animal Care",25+,Advanced Apprenticeship,Female,Agriculture,20,10
201415,"Agriculture, Horticulture and Animal Care",25+,Advanced Apprenticeship,Female,Animal Care,30,20
201415,"Agriculture, Horticulture and Animal Care",25+,Advanced Apprenticeship,Female,Animal Technology, -   , -   
201415,"Agriculture, Horticulture and Animal Care",25+,Advanced Apprenticeship,Female,Environmental Conservation, -   , -   
201415,"Agriculture, Horticulture and Animal Care",25+,Advanced Apprenticeship,Female,Equine Industry,30,30
201415,"Agriculture, Horticulture and Animal Care",25+,Advanced Apprenticeship,Female,Farriery, -   , -   
201415,"Agriculture, Horticulture and Animal Care",25+,Advanced Apprenticeship,Female,Fencing, -   , -   
201415,"Agriculture, Horticulture and Animal Care",25+,Advanced Apprenticeship,Female,Fish Husbandry and Fish Management, -   , -   
201415,"Agriculture, Horticulture and Animal Care",25+,Advanced Apprenticeship,Female,Floristry, -   , -   
201415,"Agriculture, Horticulture and Animal Care",25+,Advanced Apprenticeship,Female,Game and Wildlife Management, -   , -   
201415,"Agriculture, Horticulture and Animal Care",25+,Advanced Apprenticeship,Female,Horticulture,10, -   
201415,"Agriculture, Horticulture and Animal Care",25+,Advanced Apprenticeship,Female,Land-based Service Engineering, -   , -   
201415,"Agriculture, Horticulture and Animal Care",25+,Advanced Apprenticeship,Female,Nursing Assistants in a Veterinary Environment, -   , -   
201415,"Agriculture, Horticulture and Animal Care",25+,Advanced Apprenticeship,Female,Trees and Timber, -   , -   
201415,"Agriculture, Horticulture and Animal Care",25+,Advanced Apprenticeship,Female,Veterinary Nursing,130,70
201415,"Agriculture, Horticulture and Animal Care",25+,Advanced Apprenticeship,Male,Agriculture,110,130
201415,"Agriculture, Horticulture and Animal Care",25+,Advanced Apprenticeship,Male,Animal Care,60,50
201415,"Agriculture, Horticulture and Animal Care",25+,Advanced Apprenticeship,Male,Animal Technology, -   , -   
201415,"Agriculture, Horticulture and Animal Care",25+,Advanced Apprenticeship,Male,Environmental Conservation, -   , -   
201415,"Agriculture, Horticulture and Animal Care",25+,Advanced Apprenticeship,Male,Equine Industry,10,10
201415,"Agriculture, Horticulture and Animal Care",25+,Advanced Apprenticeship,Male,Farriery,10,10
201415,"Agriculture, Horticulture and Animal Care",25+,Advanced Apprenticeship,Male,Fencing, -   ,10
201415,"Agriculture, Horticulture and Animal Care",25+,Advanced Apprenticeship,Male,Fish Husbandry and Fish Management, -   , -   
201415,"Agriculture, Horticulture and Animal Care",25+,Advanced Apprenticeship,Male,Floristry, -   , -   
201415,"Agriculture, Horticulture and Animal Care",25+,Advanced Apprenticeship,Male,Game and Wildlife Management, -   , -   
201415,"Agriculture, Horticulture and Animal Care",25+,Advanced Apprenticeship,Male,Horticulture,140,120
201415,"Agriculture, Horticulture and Animal Care",25+,Advanced Apprenticeship,Male,Land-based Service Engineering, -   , -   
201415,"Agriculture, Horticulture and Animal Care",25+,Advanced Apprenticeship,Male,Nursing Assistants in a Veterinary Environment, -   , -   
201415,"Agriculture, Horticulture and Animal Care",25+,Advanced Apprenticeship,Male,Trees and Timber,10, -   
201415,"Agriculture, Horticulture and Animal Care",25+,Advanced Apprenticeship,Male,Veterinary Nursing, -   , -   
201415,"Agriculture, Horticulture and Animal Care",25+,Advanced Apprenticeship,Not App/ Known,Agriculture, -   , -   
201415,"Agriculture, Horticulture and Animal Care",25+,Advanced Apprenticeship,Not App/ Known,Animal Care, -   , -   
201415,"Agriculture, Horticulture and Animal Care",25+,Advanced Apprenticeship,Not App/ Known,Animal Technology, -   , -   
201415,"Agriculture, Horticulture and Animal Care",25+,Advanced Apprenticeship,Not App/ Known,Environmental Conservation, -   , -   
201415,"Agriculture, Horticulture and Animal Care",25+,Advanced Apprenticeship,Not App/ Known,Equine Industry, -   , -   
201415,"Agriculture, Horticulture and Animal Care",25+,Advanced Apprenticeship,Not App/ Known,Farriery, -   , -   
201415,"Agriculture, Horticulture and Animal Care",25+,Advanced Apprenticeship,Not App/ Known,Fencing, -   , -   
201415,"Agriculture, Horticulture and Animal Care",25+,Advanced Apprenticeship,Not App/ Known,Fish Husbandry and Fish Management, -   , -   
201415,"Agriculture, Horticulture and Animal Care",25+,Advanced Apprenticeship,Not App/ Known,Floristry, -   , -   
201415,"Agriculture, Horticulture and Animal Care",25+,Advanced Apprenticeship,Not App/ Known,Game and Wildlife Management, -   , -   
201415,"Agriculture, Horticulture and Animal Care",25+,Advanced Apprenticeship,Not App/ Known,Horticulture, -   , -   
201415,"Agriculture, Horticulture and Animal Care",25+,Advanced Apprenticeship,Not App/ Known,Land-based Service Engineering, -   , -   
201415,"Agriculture, Horticulture and Animal Care",25+,Advanced Apprenticeship,Not App/ Known,Nursing Assistants in a Veterinary Environment, -   , -   
201415,"Agriculture, Horticulture and Animal Care",25+,Advanced Apprenticeship,Not App/ Known,Trees and Timber, -   , -   
201415,"Agriculture, Horticulture and Animal Care",25+,Advanced Apprenticeship,Not App/ Known,Veterinary Nursing, -   , -   
201415,"Agriculture, Horticulture and Animal Care",25+,Higher Apprenticeship,Female,Agriculture, -   , -   
201415,"Agriculture, Horticulture and Animal Care",25+,Higher Apprenticeship,Female,Animal Care, -   , -   
201415,"Agriculture, Horticulture and Animal Care",25+,Higher Apprenticeship,Female,Animal Technology, -   , -   
201415,"Agriculture, Horticulture and Animal Care",25+,Higher Apprenticeship,Female,Environmental Conservation, -   , -   
201415,"Agriculture, Horticulture and Animal Care",25+,Higher Apprenticeship,Female,Equine Industry, -   , -   
201415,"Agriculture, Horticulture and Animal Care",25+,Higher Apprenticeship,Female,Farriery, -   , -   
201415,"Agriculture, Horticulture and Animal Care",25+,Higher Apprenticeship,Female,Fencing, -   , -   
201415,"Agriculture, Horticulture and Animal Care",25+,Higher Apprenticeship,Female,Fish Husbandry and Fish Management, -   , -   
201415,"Agriculture, Horticulture and Animal Care",25+,Higher Apprenticeship,Female,Floristry, -   , -   
201415,"Agriculture, Horticulture and Animal Care",25+,Higher Apprenticeship,Female,Game and Wildlife Management, -   , -   
201415,"Agriculture, Horticulture and Animal Care",25+,Higher Apprenticeship,Female,Horticulture, -   , -   
201415,"Agriculture, Horticulture and Animal Care",25+,Higher Apprenticeship,Female,Land-based Service Engineering, -   , -   
201415,"Agriculture, Horticulture and Animal Care",25+,Higher Apprenticeship,Female,Nursing Assistants in a Veterinary Environment, -   , -   
201415,"Agriculture, Horticulture and Animal Care",25+,Higher Apprenticeship,Female,Trees and Timber, -   , -   
201415,"Agriculture, Horticulture and Animal Care",25+,Higher Apprenticeship,Female,Veterinary Nursing, -   , -   
201415,"Agriculture, Horticulture and Animal Care",25+,Higher Apprenticeship,Male,Agriculture, -   , -   
201415,"Agriculture, Horticulture and Animal Care",25+,Higher Apprenticeship,Male,Animal Care, -   , -   
201415,"Agriculture, Horticulture and Animal Care",25+,Higher Apprenticeship,Male,Animal Technology, -   , -   
201415,"Agriculture, Horticulture and Animal Care",25+,Higher Apprenticeship,Male,Environmental Conservation, -   , -   
201415,"Agriculture, Horticulture and Animal Care",25+,Higher Apprenticeship,Male,Equine Industry, -   , -   
201415,"Agriculture, Horticulture and Animal Care",25+,Higher Apprenticeship,Male,Farriery, -   , -   
201415,"Agriculture, Horticulture and Animal Care",25+,Higher Apprenticeship,Male,Fencing, -   , -   
201415,"Agriculture, Horticulture and Animal Care",25+,Higher Apprenticeship,Male,Fish Husbandry and Fish Management, -   , -   
201415,"Agriculture, Horticulture and Animal Care",25+,Higher Apprenticeship,Male,Floristry, -   , -   
201415,"Agriculture, Horticulture and Animal Care",25+,Higher Apprenticeship,Male,Game and Wildlife Management, -   , -   
201415,"Agriculture, Horticulture and Animal Care",25+,Higher Apprenticeship,Male,Horticulture, -   , -   
